食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
とうもろこし　玄穀　白色種,341,14.5,8.6,5,70.6,0
とうもろこし　コーンミール　黄色種,375,14,8.3,4,72.4,0
とうもろこし　コーンミール　白色種,375,14,8.3,4,72.4,0
とうもろこし　コーングリッツ　黄色種,352,14,8.2,1,76.4,0
とうもろこし　コーングリッツ　白色種,352,14,8.2,1,76.4,0
とうもろこし　コーンフラワー　黄色種,347,14,6.6,2.8,76.1,0
とうもろこし　コーンフラワー　白色種,347,14,6.6,2.8,76.1,0
とうもろこし　ジャイアントコーン　フライ　味付け,409,4.3,5.7,11.8,76.6,1.1
とうもろこし　ポップコーン,472,4,10.2,22.8,59.6,1.4
とうもろこし　コーンフレーク,380,4.5,7.8,1.7,83.6,2.1
はとむぎ　精白粒,353,13,13.3,1.3,72.2,0
ひえ　精白粒,361,12.9,9.4,3.3,73.2,0
もろこし　玄穀,344,12,10.3,4.7,71.1,0
もろこし　精白粒,348,12.5,9.5,2.6,74.1,0
ライむぎ　全粒粉,317,12.5,12.7,2.7,70.7,0
ライむぎ　ライ麦粉,324,13.5,8.5,1.6,75.8,0
＜いも類＞　アメリカほどいも　塊根　生,146,56.5,5.9,0.6,35.6,0
＜いも類＞　アメリカほどいも　塊根　ゆで,144,57.1,6,0.8,34.5,0
＜いも類＞　きくいも　塊茎　生,66,81.7,1.9,0.4,14.7,0
＜いも類＞　きくいも　塊茎　水煮,51,85.4,1.6,0.5,11.3,0
＜いも類＞　こんにゃく　精粉,194,6,3,0.1,85.3,0
＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,5,97.3,0.1,Tr,2.3,0
＜いも類＞　こんにゃく　板こんにゃく　生いもこんにゃく,8,96.2,0.1,0.1,3.3,0
＜いも類＞　こんにゃく　赤こんにゃく,6,97.1,0.1,Tr,2.5,0
＜いも類＞　こんにゃく　凍みこんにゃく　乾,192,12,3.3,1.4,77.1,0.1
＜いも類＞　こんにゃく　凍みこんにゃく　ゆで,42,80.8,0.7,0.3,16.8,0
＜いも類＞　こんにゃく　しらたき,7,96.5,0.2,Tr,3,0
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　生,127,64.6,0.9,0.5,33.1,0.1
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　蒸し,129,64.2,0.9,0.2,33.7,0.1
＜いも類＞　さつまいも類　さつまいも　塊根　皮つき　天ぷら,205,52.4,1.4,6.8,38.4,0.1
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　生,126,65.6,1.2,0.2,31.9,0
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　蒸し,131,65.6,1.2,0.2,31.9,0
＜いも類＞　さつまいも類　さつまいも　塊根　皮なし　焼き,151,58.1,1.4,0.2,39,0
＜いも類＞　さつまいも類　さつまいも　蒸し切干,277,22.2,3.1,0.6,71.9,0
＜いも類＞　さつまいも類　むらさきいも　塊根　皮なし　生,123,66,1.2,0.3,31.7,0.1
＜いも類＞　さつまいも類　むらさきいも　塊根　皮なし　蒸し,122,66.2,1.2,0.3,31.4,0.1
＜いも類＞　さといも類　さといも　球茎　生,53,84.1,1.5,0.1,13.1,0
＜いも類＞　さといも類　さといも　球茎　水煮,52,84,1.5,0.1,13.4,0
＜いも類＞　さといも類　さといも　球茎　冷凍,56,80.9,2.2,0.1,16,0
＜いも類＞　さといも類　セレベス　球茎　生,80,76.4,2.2,0.3,19.8,0
＜いも類＞　さといも類　セレベス　球茎　水煮,77,77.5,2.1,0.3,19.1,0
＜いも類＞　さといも類　たけのこいも　球茎　生,97,73.4,1.7,0.4,23.5,0
＜いも類＞　さといも類　たけのこいも　球茎　水煮,86,75.4,1.6,0.4,21.8,0
＜いも類＞　さといも類　みずいも　球茎　生,111,70.5,0.7,0.4,27.6,0
＜いも類＞　さといも類　みずいも　球茎　水煮,101,72,0.7,0.4,26.1,0
＜いも類＞　さといも類　やつがしら　球茎　生,94,74.5,3,0.7,20.5,0
＜いも類＞　さといも類　やつがしら　球茎　水煮,92,75.6,2.7,0.6,20,0
＜いも類＞　じゃがいも　塊茎　皮つき　生,51,81.1,1.8,0.1,15.9,0
＜いも類＞　じゃがいも　塊茎　皮つき　電子レンジ調理,78,77.6,2.1,0.2,19.2,0
＜いも類＞　じゃがいも　塊茎　皮つき　フライドポテト　生を揚げたもの,153,65.2,2.7,5.6,25.4,0
＜いも類＞　じゃがいも　塊茎　皮なし　生,59,79.8,1.8,0.1,17.3,0
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,71,80.6,1.7,0.1,16.9,0
＜いも類＞　じゃがいも　塊茎　皮なし　蒸し,76,78.8,1.9,0.3,18.1,0
＜いも類＞　じゃがいも　塊茎　皮なし　電子レンジ調理,78,78,1.9,0.1,19,0
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　生を揚げたもの,159,64.2,2.7,5.9,26.2,0
＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　市販冷凍食品を揚げたもの,229,52.9,2.9,10.6,32.4,0
＜いも類＞　じゃがいも　乾燥マッシュポテト,347,7.5,6.6,0.6,82.8,0.2
＜いも類＞　ヤーコン　塊根　生,52,86.3,0.6,0.3,12.4,0
＜いも類＞　ヤーコン　塊根　水煮,42,88.8,0.6,0.3,9.9,0
＜いも類＞　やまのいも類　ながいも　いちょういも　塊根　生,108,71.1,4.5,0.5,22.6,0
＜いも類＞　やまのいも類　ながいも　ながいも　塊根　生,64,82.6,2.2,0.3,13.9,0
＜いも類＞　やまのいも類　ながいも　ながいも　塊根　水煮,58,84.2,2,0.3,12.6,0
＜いも類＞　やまのいも類　ながいも　やまといも　塊根　生,119,66.7,4.5,0.2,27.1,0
＜いも類＞　やまのいも類　じねんじょ　塊根　生,118,68.8,2.8,0.7,26.7,0
＜いも類＞　やまのいも類　だいじょ　塊根　生,102,71.2,2.6,0.1,25,0.1
＜でん粉・でん粉製品＞　でん粉類　おおうばゆりでん粉,327,16.2,0.1,0.1,83.6,0
＜でん粉・でん粉製品＞　でん粉類　キャッサバでん粉,354,14.2,0.1,0.2,85.3,0
＜でん粉・でん粉製品＞　でん粉類　くずでん粉,356,13.9,0.2,0.2,85.6,0
＜でん粉・でん粉製品＞　でん粉類　米でん粉,375,9.7,0.2,0.7,89.3,0
＜でん粉・でん粉製品＞　でん粉類　小麦でん粉,360,13.1,0.2,0.5,86,0
＜でん粉・でん粉製品＞　でん粉類　サゴでん粉,357,13.4,0.1,0.2,86.1,0
＜でん粉・でん粉製品＞　でん粉類　さつまいもでん粉,340,17.5,0.1,0.2,82,0
＜でん粉・でん粉製品＞　でん粉類　じゃがいもでん粉,338,18,0.1,0.1,81.6,0
＜でん粉・でん粉製品＞　でん粉類　とうもろこしでん粉,363,12.8,0.1,0.7,86.3,0
＜でん粉・でん粉製品＞　でん粉製品　くずきり　乾,341,11.8,0.2,0.2,87.7,0
＜でん粉・でん粉製品＞　でん粉製品　くずきり　ゆで,133,66.5,0.1,0.1,33.3,0
＜でん粉・でん粉製品＞　でん粉製品　ごま豆腐,75,84.8,1.5,4.3,9.1,0
＜でん粉・でん粉製品＞　でん粉製品　タピオカパール　乾,352,11.9,0,0.2,87.8,0
