食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　全脂無糖,56,87.7,3.6,3,4.9,0.1
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　低脂肪無糖,40,89.2,3.7,1,5.2,0.1
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　無脂肪無糖,37,89.1,4,0.3,5.7,0.1
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　脱脂加糖,65,82.6,4.3,0.2,11.9,0.2
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　ドリンクタイプ　加糖,64,83.8,2.9,0.5,12.2,0.1
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　乳酸菌飲料　乳製品,64,82.1,1.1,0.1,16.4,0
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　乳酸菌飲料　殺菌乳製品,217,45.5,1.5,0.1,52.6,0
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　乳酸菌飲料　非乳製品,39,89.3,0.4,0.1,10,0
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　エダム,321,41,28.9,25,1.4,2
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　エメンタール,398,33.5,27.3,33.6,1.6,1.3
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　カテージ,99,79,13.3,4.5,1.9,1
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　カマンベール,291,51.8,19.1,24.7,0.9,2
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　クリーム,313,55.5,8.2,33,2.3,0.7
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　ゴーダ,356,40,25.8,29,1.4,2
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　チェダー,390,35.3,25.7,33.8,1.4,2
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　パルメザン,445,15.4,44,30.8,1.9,3.8
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　ブルー,326,45.6,18.8,29,1,3.8
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　マスカルポーネ,273,62.4,4.4,28.2,4.3,0.1
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　モッツァレラ,269,56.3,18.4,19.9,4.2,0.2
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　やぎ,280,52.9,20.6,21.7,2.7,1.2
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　リコッタ,159,72.9,7.1,11.5,6.7,0.4
＜牛乳及び乳製品＞　チーズ類　プロセスチーズ,313,45,22.7,26,1.3,2.8
＜牛乳及び乳製品＞　チーズ類　チーズスプレッド,284,53.8,15.9,25.7,0.6,2.5
＜牛乳及び乳製品＞　アイスクリーム類　アイスクリーム　高脂肪,205,61.3,3.5,12,22.4,0.2
＜牛乳及び乳製品＞　アイスクリーム類　アイスクリーム　普通脂肪,178,63.9,3.9,8,23.2,0.3
＜牛乳及び乳製品＞　アイスクリーム類　アイスミルク,167,65.6,3.4,6.4,23.9,0.2
＜牛乳及び乳製品＞　アイスクリーム類　ラクトアイス　普通脂肪,217,60.4,3.1,13.6,22.2,0.2
＜牛乳及び乳製品＞　アイスクリーム類　ラクトアイス　低脂肪,108,75.2,1.8,2,20.6,0.1
＜牛乳及び乳製品＞　アイスクリーム類　ソフトクリーム,146,69.6,3.8,5.6,20.1,0.2
＜牛乳及び乳製品＞　その他　カゼイン,358,10.6,86.2,1.5,0,0
＜牛乳及び乳製品＞　その他　シャーベット,128,69.1,0.9,1,28.7,0
＜牛乳及び乳製品＞　その他　チーズホエーパウダー,339,2.2,12.5,1.2,77,1.8
＜その他＞　人乳,61,88,1.1,3.5,7.2,0
＜その他＞　やぎ乳,57,88,3.1,3.6,4.5,0.1
植物油脂類　あまに油,897,Tr,0,100,0,0
植物油脂類　えごま油,897,Tr,0,100,0,0
植物油脂類　オリーブ油,894,0,0,100,0,0
植物油脂類　ごま油,890,0,0,100,0,0
植物油脂類　米ぬか油,880,0,0,100,0,0
植物油脂類　サフラワー油　ハイオレイック,892,0,0,100,0,0
植物油脂類　サフラワー油　ハイリノール,883,0,0,100,0,0
植物油脂類　大豆油,885,0,0,100,0,0
植物油脂類　調合油,886,0,0,100,0,0
植物油脂類　とうもろこし油,884,0,0,100,0,0
植物油脂類　なたね油,887,0,0,100,0,0
植物油脂類　パーム油,887,0,0,100,0,0
植物油脂類　パーム核油,893,0,0,100,0,0
植物油脂類　ひまわり油　ハイリノール,899,0,0,100,0,0
植物油脂類　ひまわり油　ミッドオレイック,892,0,0,100,0,0
植物油脂類　ひまわり油　ハイオレイック,899,0,0,100,0,0
植物油脂類　ぶどう油,882,0,0,100,0,0
植物油脂類　綿実油,883,0,0,100,0,0
植物油脂類　やし油,889,0,0,100,0,0
植物油脂類　落花生油,882,0,0,100,0,0
動物油脂類　牛脂,869,Tr,0.2,99.8,0,0
動物油脂類　たらのあぶら,853,0.1,0.1,99.8,0,0
動物油脂類　ラード,885,0,0,100,0,0
バター類　無発酵バター　有塩バター,700,16.2,0.6,81,0.2,1.9
バター類　無発酵バター　食塩不使用バター,720,15.8,0.5,83,0.2,0
バター類　発酵バター　有塩バター,713,13.6,0.6,80,4.4,1.3
マーガリン類　マーガリン　家庭用　有塩,715,14.7,0.4,83.1,0.5,1.3
マーガリン類　マーガリン　家庭用　無塩,715,14.7,0.4,83.1,0.5,0
マーガリン類　マーガリン　業務用　有塩,740,14.8,0.3,84.3,0.1,1.3
マーガリン類　マーガリン　業務用　無塩,740,14.8,0.3,84.3,0.1,0
マーガリン類　ファットスプレッド,579,30.2,0.2,69.1,0,1.1
その他　ショートニング　家庭用,889,0.1,0,99.9,0,0
その他　ショートニング　業務用　製菓,881,Tr,0,99.9,0,0
その他　ショートニング　業務用　フライ,886,0.1,0,99.9,0,0
＜和生菓子・和半生菓子類＞　甘納豆　あずき,283,26.2,3.4,0.3,69.5,0.1
＜和生菓子・和半生菓子類＞　甘納豆　いんげんまめ,288,25.2,3.8,0.5,69.9,0.1
＜和生菓子・和半生菓子類＞　甘納豆　えんどう,293,23.1,3.8,0.4,72.2,0.1
＜和生菓子・和半生菓子類＞　今川焼　こしあん入り,217,45.5,4.5,1.1,48.3,0.1
＜和生菓子・和半生菓子類＞　今川焼　つぶしあん入り,220,45.5,4.5,1.4,48.2,-0.2
＜和生菓子・和半生菓子類＞　今川焼　カスタードクリーム入り,224,45.5,4.7,2.6,46.7,-0.1
＜和生菓子・和半生菓子類＞　ういろう　白,181,54.5,1,0.2,44.2,0
＜和生菓子・和半生菓子類＞　ういろう　黒,174,54.5,1.5,0.2,42.7,0
＜和生菓子・和半生菓子類＞　うぐいすもち　こしあん入り,236,40,3.5,0.4,55.8,0.1
＜和生菓子・和半生菓子類＞　うぐいすもち　つぶしあん入り,237,40,2.7,0.4,56.8,-0.1
＜和生菓子・和半生菓子類＞　かしわもち　こしあん入り,203,48.5,4,0.4,46.7,0.1
＜和生菓子・和半生菓子類＞　かしわもち　つぶしあん入り,204,48.5,3.9,0.5,46.6,0.2
＜和生菓子・和半生菓子類＞　カステラ,313,25.6,7.1,5,61.8,0.2
＜和生菓子・和半生菓子類＞　かのこ,260,34,4.8,0.4,60.4,-0.1
＜和生菓子・和半生菓子類＞　かるかん,226,42.5,2.1,0.3,54.8,0
＜和生菓子・和半生菓子類＞　きび団子,298,24.4,1.6,0.2,73.7,0
＜和生菓子・和半生菓子類＞　ぎゅうひ,253,36,1.3,0.2,62.4,0
＜和生菓子・和半生菓子類＞　きりざんしょ,245,38,2.1,0.3,59.3,0.2
＜和生菓子・和半生菓子類＞　きんぎょく糖,282,28,Tr,0,71.9,0
＜和生菓子・和半生菓子類＞　きんつば,260,34,6,0.7,58.6,0.3
＜和生菓子・和半生菓子類＞　草もち　こしあん入り,224,43,4.2,0.4,52.1,0
＜和生菓子・和半生菓子類＞　草もち　つぶしあん入り,227,43,4.8,0.7,51.1,-0.1
＜和生菓子・和半生菓子類＞　くし団子　あん　こしあん入り,198,50,3.8,0.4,45.4,0.1
＜和生菓子・和半生菓子類＞　くし団子　あん　つぶしあん入り,199,50,3.8,0.5,45.4,0.1
＜和生菓子・和半生菓子類＞　くし団子　みたらし,194,50.5,3.2,0.4,44.9,0.6
＜和生菓子・和半生菓子類＞　くずもち　関西風　くずでん粉製品,93,77.4,0.1,0.1,22.5,0
＜和生菓子・和半生菓子類＞　くずもち　関東風　小麦でん粉製品,94,77.4,0.1,0.1,22.4,0
＜和生菓子・和半生菓子類＞　げっぺい,348,20.9,4.7,8.5,65.5,0
＜和生菓子・和半生菓子類＞　五平もち,178,54.7,3,0.5,40.9,0.6
＜和生菓子・和半生菓子類＞　桜もち　関西風　こしあん入り,196,50,3.5,0.3,46,0.1
＜和生菓子・和半生菓子類＞　桜もち　関西風　つぶしあん入り,197,50,3,0.3,46.5,0.1
＜和生菓子・和半生菓子類＞　桜もち　関東風　こしあん入り,235,40.5,4.5,0.4,54.2,0.1
＜和生菓子・和半生菓子類＞　桜もち　関東風　つぶしあん入り,237,40.5,4.2,0.6,54.4,0.1
＜和生菓子・和半生菓子類＞　笹だんご　こしあん入り,227,40.5,4,0.5,54.6,0
＜和生菓子・和半生菓子類＞　笹だんご　つぶしあん入り,228,40.5,4.7,0.6,53.8,0.1
＜和生菓子・和半生菓子類＞　ずんだあん,190,52.7,6.3,3.4,36.6,0.2
＜和生菓子・和半生菓子類＞　ずんだもち,212,47.8,4.9,1.7,45.1,0.1
＜和生菓子・和半生菓子類＞　大福もち　こしあん入り,223,41.5,4.6,0.5,53.2,0.1
＜和生菓子・和半生菓子類＞　大福もち　つぶしあん入り,223,41.5,4.7,0.6,52.8,0.1
＜和生菓子・和半生菓子類＞　タルト　和菓子,288,30,5.9,3,60.7,-0.1
＜和生菓子・和半生菓子類＞　ちまき,150,62,1.3,0.2,36.5,0
＜和生菓子・和半生菓子類＞　ちゃつう,320,22.5,6.2,4.3,66.4,0
＜和生菓子・和半生菓子類＞　どら焼　こしあん入り,282,31.5,6.6,3.1,58.4,-0.3
＜和生菓子・和半生菓子類＞　どら焼　つぶしあん入り,292,31.5,6.6,3.2,57.9,-0.4
＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　こしあん入り,274,30.5,3.6,0.3,65.4,0
＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　こしあん・つぶしあん混合,274,30.5,3.5,0.3,65.5,0
＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　つぶしあん入り,275,30.5,3.7,0.5,65.1,-0.1
＜和生菓子・和半生菓子類＞　ねりきり,259,34,5.3,0.3,60.1,0
＜和生菓子・和半生菓子類＞　まんじゅう　カステラまんじゅう　こしあん入り,292,27.9,6.7,2.1,62.6,0.1
＜和生菓子・和半生菓子類＞　まんじゅう　カステラまんじゅう　つぶしあん入り,292,27.9,6.9,2.3,62.2,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　かるかんまんじゅう　こしあん入り,226,42.5,3,0.3,53.8,-0.1
＜和生菓子・和半生菓子類＞　まんじゅう　かるかんまんじゅう　つぶしあん入り,226,42.5,3.1,0.4,53.6,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　こしあん入り,216,45,3.1,0.2,51.4,0.1
＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　つぶしあん入り,218,45,1.3,0.1,53.4,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　こしあん入り,296,24,6.5,1.4,68.1,-0.1
＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　つぶしあん入り,295,24,6.7,1.6,67,0.2
＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　こしあん入り,299,28,6.8,3.1,61.6,-0.1
＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　つぶしあん入り,294,28,6.9,3.3,61.3,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　こしあん入り,254,35,4.6,0.5,59.5,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　つぶしあん入り,257,35,4.7,0.7,59.1,-0.2
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　こしあん入り,273,36.6,6.1,5.6,51.3,0
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　つぶしあん入り,279,36.6,6.2,6,51.3,0.1
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　肉まん,242,39.5,10,5.1,43.4,1.2
＜和生菓子・和半生菓子類＞　もなか　こしあん入り,277,29,4.9,0.3,65.5,0
＜和生菓子・和半生菓子類＞　もなか　つぶしあん入り,278,29,6.4,0.7,63.3,0.2
＜和生菓子・和半生菓子類＞　ゆべし,321,22,2.4,3.5,71.2,0.6
＜和生菓子・和半生菓子類＞　ようかん　練りようかん,289,26,3.6,0.2,69.9,0
＜和生菓子・和半生菓子類＞　ようかん　水ようかん,168,57,2.6,0.2,39.9,0.1
＜和生菓子・和半生菓子類＞　ようかん　蒸しようかん,237,39.5,4.4,0.3,55.4,0.2
＜和干菓子類＞　あめ玉,385,2.5,0,0,97.5,0
＜和干菓子類＞　芋かりんとう,465,5.5,1.4,20.6,71.3,0
＜和干菓子類＞　おこし,376,5,3.8,0.7,90.2,0.2
＜和干菓子類＞　おのろけ豆,438,3,11.3,13.6,70.2,1
＜和干菓子類＞　かりんとう　黒,420,3.5,7.5,11.6,76.3,0
＜和干菓子類＞　かりんとう　白,423,2.5,9.7,11.2,76.2,0
＜和干菓子類＞　ごかぼう,367,10,10.6,6.4,71.7,0
＜和干菓子類＞　小麦粉せんべい　磯部せんべい,377,4.2,4.3,0.8,89.3,1.3
＜和干菓子類＞　小麦粉せんべい　かわらせんべい,390,4.3,7,3.2,84.9,0.1
＜和干菓子類＞　小麦粉せんべい　巻きせんべい,386,3.5,4.3,1.4,90.4,0.1
＜和干菓子類＞　小麦粉せんべい　南部せんべい　ごま入り,423,3.3,11.2,11.1,72,1.1
＜和干菓子類＞　小麦粉せんべい　南部せんべい　落花生入り,421,3.3,11.7,9.5,73.9,0.9
＜和干菓子類＞　しおがま,348,10,2.6,0.2,85.5,1.5
＜和干菓子類＞　ひなあられ　関西風,385,2.6,8,1.4,85.8,-1.7
＜和干菓子類＞　ひなあられ　関東風,380,4.7,9.6,2.8,80.7,-1.5
＜和干菓子類＞　米菓　揚げせんべい,458,4,5.6,17.4,71.3,1.2
＜和干菓子類＞　米菓　甘辛せんべい,374,4.5,6.7,0.9,86.2,1.2
＜和干菓子類＞　米菓　あられ,378,4.4,7.5,1,84.9,1.7
＜和干菓子類＞　米菓　しょうゆせんべい,368,5.9,7.3,1,83.9,1.3
＜和干菓子類＞　ボーロ　小粒,391,4.5,2.5,2.1,90.6,0.1
＜和干菓子類＞　ボーロ　そばボーロ,398,2,7.7,3.4,86.1,0.3
＜和干菓子類＞　松風,378,5.3,4,0.7,89.7,0.1
＜和干菓子類＞　みしま豆,402,1.6,12.3,8.6,75.8,0
＜和干菓子類＞　八つ橋,390,1.8,3.3,0.5,94.2,0
＜和干菓子類＞　らくがん　らくがん,384,3,2.4,0.2,94.3,0
＜和干菓子類＞　らくがん　麦らくがん,396,2.4,4.8,1.8,90.4,0
＜和干菓子類＞　らくがん　もろこしらくがん,374,2.5,6.6,0.3,89.9,0.3
＜菓子パン類＞　揚げパン,369,27.7,8.7,18.7,43.5,1.1
＜菓子パン類＞　あんパン　こしあん入り,267,35.5,6.8,3.6,53.5,-0.3
＜菓子パン類＞　あんパン　つぶしあん入り,266,35.5,7,3.8,53,-0.3
＜菓子パン類＞　あんパン　薄皮タイプ　こしあん入り,256,37.4,6.6,3.5,51.9,-0.1
＜菓子パン類＞　あんパン　薄皮タイプ　つぶしあん入り,258,37.4,6.8,3.7,51.4,-0.2
＜菓子パン類＞　カレーパン　皮及び具,302,41.3,6.6,18.3,32.3,1.2
＜菓子パン類＞　カレーパン　皮のみ,363,30.8,7.2,22.4,38.4,1
＜菓子パン類＞　カレーパン　具のみ,168,64.5,5.3,9.3,18.8,1.8
＜菓子パン類＞　クリームパン,286,35.5,7.9,7.4,48.3,-0.4
＜菓子パン類＞　クリームパン　薄皮タイプ,218,52.2,6,7.1,33.9,-0.2
＜菓子パン類＞　ジャムパン,285,32,5.3,3.9,58.1,-0.3
＜菓子パン類＞　チョココロネ,320,33.5,5.8,15.3,44.4,-0.4
＜菓子パン類＞　チョコパン　薄皮タイプ,340,35,4.7,19.4,40,-0.4
＜菓子パン類＞　メロンパン,349,20.9,8,10.5,59.9,0.5
＜菓子パン類＞　菓子パン　あんなし,294,30.7,8.2,6.1,54.1,-0.5
＜ケーキ・ペストリー類＞　シュークリーム,211,56.3,6,11.4,25.5,-0.2
＜ケーキ・ペストリー類＞　スポンジケーキ,283,32,7.9,7.5,52.1,-0.2
＜ケーキ・ペストリー類＞　ショートケーキ　果実なし,318,35,6.9,15.2,42.3,-0.2
＜ケーキ・ペストリー類＞　ショートケーキ　いちご,314,35,6.9,14.7,42.7,-0.2
＜ケーキ・ペストリー類＞　タルト　洋菓子,247,50.3,4.7,13.5,30.5,-0.2
＜ケーキ・ペストリー類＞　チーズケーキ　ベイクドチーズケーキ,299,46.1,8.5,21.2,23.3,-0.5
＜ケーキ・ペストリー類＞　チーズケーキ　レアチーズケーキ,349,43.1,5.8,27.5,22.5,0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　プレーン,382,31.3,6.2,26.3,35.1,-0.8
＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　プレーン　,440,25.5,6.5,34,33.2,-0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　こしあん,330,32.8,6,15.6,44.9,0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　つぶしあん,323,34.6,6,15.7,42.9,0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　こしあん,384,25.5,6.5,21.3,46.1,-0.3
＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　つぶしあん,387,25.5,6.6,22,45.2,0.4
＜ケーキ・ペストリー類＞　デニッシュペストリー　アメリカンタイプ　あん入り　カスタードクリーム,304,42.8,5.8,19.3,31.2,-0.5
＜ケーキ・ペストリー類＞　デニッシュペストリー　デンマークタイプ　あん入り　カスタードクリーム,417,25.5,7.3,29.6,36.6,-0.5
＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　プレーン,379,27.5,7.2,20.2,43.9,-0.8
＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　こしあん,341,27.5,6.8,12.6,52.2,-0.5
＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　つぶしあん,341,27.5,7,13,51.5,-0.6
＜ケーキ・ペストリー類＞　ドーナッツ　イーストドーナッツ　あん入り　カスタードクリーム,371,27.5,7.7,18.9,44.6,-0.6
＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　プレーン,367,20,7.2,11.7,60.2,-0.4
＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　こしあん,353,20,8.3,5.4,63.7,-0.3
＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　つぶしあん,355,20,8.6,5.7,63.1,-0.3
＜ケーキ・ペストリー類＞　ドーナッツ　ケーキドーナッツ　あん入り　カスタードクリーム,375,20,9.6,10.5,56.7,-0.4
＜ケーキ・ペストリー類＞　パイ　パイ皮,373,32,5,25.4,36.4,1
＜ケーキ・ペストリー類＞　パイ　アップルパイ,294,45,4,17.5,32.8,-0.4
＜ケーキ・ペストリー類＞　パイ　ミートパイ,381,36.2,9.7,29.9,22.2,-1.1
＜ケーキ・ペストリー類＞　バターケーキ,422,20,5.8,25.3,48,0.6
＜ケーキ・ペストリー類＞　ホットケーキ,253,40,7.7,5.4,45.3,0.7
＜ケーキ・ペストリー類＞　ワッフル　カスタードクリーム入り,241,45.9,7.3,7.9,38.1,-0.2
＜ケーキ・ペストリー類＞　ワッフル　ジャム入り,279,33,4.9,4.2,57.3,-0.1
＜デザート菓子類＞　カスタードプリン,116,74.1,5.7,5.5,14,0.2
＜デザート菓子類＞　牛乳寒天,61,85.2,1.1,1.3,12.2,0
＜デザート菓子類＞　こんにゃくゼリー,65,83.2,0,0.1,16.4,0.1
＜デザート菓子類＞　ゼリー　オレンジ,80,77.6,2.1,0.1,19.8,0
＜デザート菓子類＞　ゼリー　コーヒー,43,87.8,1.6,0,10.3,0
＜デザート菓子類＞　ゼリー　ミルク,103,76.8,4.3,3.7,14.4,0.1
＜デザート菓子類＞　ゼリー　ワイン,65,84.1,1.7,0,13.2,0
＜デザート菓子類＞　ババロア,204,60.9,5.6,12.9,19.9,0.1
＜ビスケット類＞　ウエハース,439,2.1,7.6,13.6,75.3,1.2
＜ビスケット類＞　ウエハース　クリーム入り,492,2.7,7.5,21.8,65.5,-0.9
＜ビスケット類＞　クラッカー　オイルスプレークラッカー,481,2.7,8.5,22.5,63.9,1.5
＜ビスケット類＞　クラッカー　ソーダクラッカー,421,3.1,10.4,9.8,74.4,1.9
＜ビスケット類＞　サブレ,459,3.1,6.1,16.6,73.5,0.2
＜ビスケット類＞　中華風クッキー,513,3,5.1,29.5,61.8,0.2
＜ビスケット類＞　ビスケット　ハードビスケット,422,2.6,7.6,10,77.8,0.8
＜ビスケット類＞　ビスケット　ソフトビスケット,512,3.2,5.7,27.6,62.6,0.6
＜ビスケット類＞　プレッツェル,465,1,9.9,18.6,68.2,1.9
＜ビスケット類＞　リーフパイ,558,2.5,5.8,35.5,55.8,0.1
＜ビスケット類＞　ロシアケーキ,486,4,5.8,23.4,65.8,0.5
＜スナック類＞　小麦粉あられ,472,2,7.6,19.5,68.8,1.8
＜スナック類＞　コーンスナック,516,0.9,5.2,27.1,65.3,1.2
＜スナック類＞　ポテトチップス　ポテトチップス,541,2,4.7,35.2,54.7,1
＜スナック類＞　ポテトチップス　成形ポテトチップス,515,2.2,5.8,32,57.3,0.9
＜キャンデー類＞　かわり玉,392,0.5,0,0,99.5,0
＜キャンデー類＞　キャラメル,426,5.4,4,11.7,77.9,0.3
＜キャンデー類＞　ゼリーキャンデー,334,16,Tr,0,83.9,0
＜キャンデー類＞　ゼリービーンズ,358,9.5,Tr,Tr,90.4,0
＜キャンデー類＞　ドロップ,389,2,0,0,98,0
＜キャンデー類＞　バタースコッチ,414,2,Tr,6.5,91,0.4
＜キャンデー類＞　ブリットル,506,1.5,12.6,26.5,58.1,0.2
＜キャンデー類＞　マシュマロ,324,18.5,2.1,0,79.3,0
＜キャンデー類＞　ラムネ,373,7,0,0.5,92.2,0.2
＜チョコレート類＞　アーモンドチョコレート,562,2,11.4,40.4,43.3,0.1
＜チョコレート類＞　カバーリングチョコレート,488,2,7.1,24.3,64.2,-0.3
＜チョコレート類＞　スイートチョコレート,530,0.6,5.8,37.7,52.6,0
＜チョコレート類＞　スイートチョコレート　カカオ増量,539,0.9,8.9,41.3,43.3,0
＜チョコレート類＞　ホワイトチョコレート,588,0.8,7.2,39.5,50.9,0.2
＜チョコレート類＞　ミルクチョコレート,550,0.5,6.9,34.1,55.8,0.2
＜果実菓子類＞　マロングラッセ,303,21,1.1,0.3,77.4,0.1
＜チューインガム類＞　板ガム,388,3.1,0,0,96.9,0
＜チューインガム類＞　糖衣ガム,390,2.4,0,0,97.6,0
＜チューインガム類＞　風船ガム,387,3.3,0,0,96.7,0
＜その他＞　カスタードクリーム,174,61.8,5.1,7.6,24.8,0.1
＜その他＞　しるこ　こしあん,211,46.1,4.7,0.3,48.7,0
＜その他＞　しるこ　つぶしあん,179,54.5,4.2,0.4,40.5,0.1
＜その他＞　チョコレートクリーム,481,14.6,4.6,32,47.3,0.5
＜アルコール飲料類＞　醸造酒類　清酒　普通酒,107,82.4,0.4,Tr,4.9,0
＜アルコール飲料類＞　醸造酒類　清酒　純米酒,102,83.7,0.4,Tr,3.6,0
＜アルコール飲料類＞　醸造酒類　清酒　本醸造酒,106,82.8,0.4,0,4.5,0
＜アルコール飲料類＞　醸造酒類　清酒　吟醸酒,103,83.6,0.3,0,3.6,0
＜アルコール飲料類＞　醸造酒類　清酒　純米吟醸酒,102,83.5,0.4,0,4.1,0
＜アルコール飲料類＞　醸造酒類　ビール　淡色,39,92.8,0.3,0,3.1,0
＜アルコール飲料類＞　醸造酒類　ビール　黒,45,91.6,0.4,Tr,3.6,0
＜アルコール飲料類＞　醸造酒類　ビール　スタウト,62,88.4,0.5,Tr,4.9,0
＜アルコール飲料類＞　醸造酒類　発泡酒,44,92,0.1,0,3.6,0
＜アルコール飲料類＞　醸造酒類　ぶどう酒　白,75,88.6,0.1,Tr,2,0
＜アルコール飲料類＞　醸造酒類　ぶどう酒　赤,68,88.7,0.2,Tr,1.5,0
＜アルコール飲料類＞　醸造酒類　ぶどう酒　ロゼ,71,87.4,0.1,Tr,4,0
＜アルコール飲料類＞　醸造酒類　紹興酒,126,78.8,1.7,Tr,5.1,0
＜アルコール飲料類＞　蒸留酒類　しょうちゅう　連続式蒸留しょうちゅう,203,71,0,0,0,0
＜アルコール飲料類＞　蒸留酒類　しょうちゅう　単式蒸留しょうちゅう,144,79.5,0,0,0,0
＜アルコール飲料類＞　蒸留酒類　しょうちゅう　泡盛,206,70.6,Tr,Tr,0,0
＜アルコール飲料類＞　蒸留酒類　ウイスキー,234,66.6,0,0,0,0
＜アルコール飲料類＞　蒸留酒類　ブランデー,234,66.6,0,0,0,0
＜アルコール飲料類＞　蒸留酒類　ウオッカ,237,66.2,0,0,Tr,0
＜アルコール飲料類＞　蒸留酒類　ジン,280,59.9,0,Tr,0.1,0
＜アルコール飲料類＞　蒸留酒類　ラム,237,66.1,0,Tr,0.1,0
＜アルコール飲料類＞　蒸留酒類　マオタイ酒,317,54.7,0,0,0,0
＜アルコール飲料類＞　混成酒類　梅酒,155,68.9,0.1,Tr,20.7,0
＜アルコール飲料類＞　混成酒類　合成清酒,108,82.2,0.1,0,5.3,0
＜アルコール飲料類＞　混成酒類　白酒,236,44.7,1.9,Tr,48.1,0
＜アルコール飲料類＞　混成酒類　みりん　本みりん,241,47,0.3,Tr,43.2,0
＜アルコール飲料類＞　混成酒類　みりん　本直し,179,68.2,0.1,Tr,14.4,0
＜アルコール飲料類＞　混成酒類　薬味酒,181,62.6,Tr,Tr,26.8,0
＜アルコール飲料類＞　混成酒類　キュラソー,319,43.1,Tr,Tr,26.4,0
＜アルコール飲料類＞　混成酒類　スイートワイン,125,75.2,0.1,0,13.4,0
＜アルコール飲料類＞　混成酒類　ペパーミント,300,41,0,0,37.6,0
＜アルコール飲料類＞　混成酒類　ベルモット　甘口タイプ,151,71.3,0.1,0,16.4,0
＜アルコール飲料類＞　混成酒類　ベルモット　辛口タイプ,113,81.7,0.1,0,3.7,0
＜アルコール飲料類＞　混成酒類　缶チューハイ　レモン風味,51,91.4,0,Tr,2.9,0
＜茶類＞　緑茶類　玉露　茶,241,3.1,29.1,4.1,43.9,0
＜茶類＞　緑茶類　玉露　浸出液,5,97.8,1.3,0,Tr,0
＜茶類＞　緑茶類　抹茶　茶,237,5,29.6,5.3,39.5,0
＜茶類＞　緑茶類　せん茶　茶,229,2.8,24.5,4.7,47.7,0
＜茶類＞　緑茶類　せん茶　浸出液,2,99.4,0.2,0,0.2,0
＜茶類＞　緑茶類　かまいり茶　浸出液,1,99.7,0.1,0,Tr,0
